id,header,date,location,categories,description,socialmediascore
4996327,'Disturbing' Helicopter Footage Shows Tulsa Police Kill Unarmed Man - NBC News,"Mon, September 19, 2016","Tulsa, Oklahoma, United States","['Business, Business Services, Fire and Security', 'Society, Law, Law Enforcement', 'Recreation, Guns']","Play Unarmed Man With Hands Up Fatally Shot by Tulsa Police, Video Shows 1:11 autoplay autoplay Copy this code to your website or blog

Video footage released Monday showed Tulsa police shooting an unarmed man to death on Friday night after he approached his SUV with his arms raised.

In footage filmed from a police helicopter, Terence Crutcher, 40, can be seen slowly walking from the edge of a street north of Tulsa toward his vehicle, which authorities said had been reported abandoned at 7:36...","121,073"
5016350,One person shot during violent Charlotte protest; officer hurt,"Wed, September 21, 2016","Charlotte, North Carolina, United States","['Business, Business Services, Fire and Security', 'Society, Law, Law Enforcement', 'Recreation, Guns, Competition Shooting']","Story highlightsCity says a civilian was critically wounded at protestState to send more highway patrol troopers to city

Charlotte, North Carolina (CNN)One person was shot Wednesday during a second night of protests over a deadly police shooting in Charlotte, city officials said.

The person, who was not identified, is in critical condition and on life support, the city tweeted. Earlier, the city had tweeted that the person had died. The person was shot by another civilian, the city said. One...","45,307"
5013220,Angelina Jolie files for divorce from Brad Pitt,"Tue, September 20, 2016","Los Angeles, United States","['Society, Law, Services', 'Home, Family', 'Society, Issues, Children, Youth and Family']","Story highlightsPitt and Jolie met on a movie setThey are the parents of six children

(CNN)One of Hollywood's highest profile marriages is over.

Angelina Jolie has filed for divorce from husband Brad Pitt, citing irreconcilable differences.According to the court documents, the pair separated on September 15, two years and one month after they married in August 2014.Jolie is seeking physical custody of their six children and asking the court to grant Pitt visitation. She is also asking to keep...","45,013"
5026866,US boy offers home to Syrian refugee in letter to Obama - BBC News,"Thu, September 22, 2016","New York City, United States","['Society, Issues', 'Society, History', 'Reference, Education, Products and Services']","A six-year-old American boy's letter to Barack Obama, offering a place in his family to a Syrian refugee, has gone viral.

Alex, from New York, wrote the letter after seeing the photograph of bloodied and dazed Omran Daqneesh, which prompted outrage around the world.

Mr Obama said the letter was from a child ""who hasn't learned to be cynical, or suspicious, or fearful"".

The video has been shared more than 60,000 times on Facebook.

""Dear President Obama, remember the boy who was picked up by...","43,556"
5047666,BREAKING NEWS: Golfing legend Arnold Palmer has died aged 87,"Mon, September 26, 2016","Pittsburgh, United States","['Business, Consumer Goods and Services, Sporting Goods', 'Sports, Golf', 'Sports, Golf, Tournaments and Events']","Golfing legend Arnold Palmer has died aged 87.

Palmer, who won seven major championships during his career, died in Pittsburgh on Sunday afternoon.

Alastair Johnson, CEO of Arnold Palmer Enterprises, confirmed that Palmer died of complications from heart problems.

Johnson said Palmer was admitted to the hospital on Thursday for some cardiovascular work and weakened over the last few days.

One of golf's greatest players whose immense popularity drew a legion of fans known as 'Arnie's Army',...","40,443"
5020740,"Joss Whedon Returns with Star-Studded, Anti-Trump Video to Get Out the Vote","Tue, September 20, 2016","Hollywood, United States","['Shopping, Entertainment, Recordings', 'Arts, Video', 'Society, Politics, Campaigns and Elections']","Joss Whedon is back with a new passion project, and he's enlisted a few friends -- a few very famous, superhero friends -- to help.

The writer-director has launched Save the Day, a super PAC focused on encouraging Americans to get out and vote on Election Day. The first phase of that effort is a star-studded PSA that launched Wednesday featuring the likes of Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Don Cheadle, Julianne Moore, Yvette Nicole Brown, and Leslie Odom Jr.

Whedon...","34,572"
5045414,Miami Marlins ace Jose Fernandez dies in boating accident,"Sun, September 25, 2016","Miami, United States","['Games, Video Games, Recreation', 'Sports, Baseball, Major League', 'Business, Consumer Goods and Services, Watercraft']","Miami Marlins ace Jose Fernandez dies in boating accident

By Associated Press

Published: 15:32 GMT, 25 September 2016 | Updated: 15:32 GMT, 25 September 2016

e-mail

MIAMI (AP) -- Jose Fernandez, the ace right-hander for the Miami Marlins who escaped Cuba to become one of baseball's brightest stars, was killed in a boating accident early Sunday morning. Fernandez was 24.

He and two other people died when their 32-foot vessel slammed into a jetty off Miami Beach, authorities said.

""We are...","26,267"
5022516,"Zuckerberg, Chan Pledge $3B to End Disease","Wed, September 21, 2016","San Francisco, United States","['Health, Conditions and Diseases', 'Health, Medicine, Research', 'Science, Organizations']","Facebook CEO Mark Zuckerberg has a goal that's even more ambitious than connecting the entire world to the internet: He and his wife want to help eradicate all disease by the end of this century.

Zuckerberg and Priscilla Chan are committing $3 billion over the next 10 years to accelerate basic scientific research, including the creation of research tools -- from software to hardware to yet-undiscovered techniques -- they hope will ultimately lead to scientific breakthroughs, the way the...","23,380"
5033007,Trump threatens to bring Gennifer Flowers to debate,"Sat, September 24, 2016","New York City, United States","['Business, Agriculture and Forestry, Horticulture', 'Society, Organizations, Student', 'Business, Consumer Goods and Services, Floral']","""If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Jennifer Flowers [sic] right alongside of him!"" Trump initially tweeted.

Shortly after, Trump deleted the tweet and reposted it with the correct spelling of Gennifer Flowers's first name.

If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him! -- Donald J. Trump (@realDonaldTrump)

September 24, 2016

Trump was...","20,595"
5013444,Trump Foundation starts to look like a slush fund,"Tue, September 20, 2016","Palm Beach, Florida, United States","['Society, Philanthropy', 'Society, Philanthropy, Grants', 'Health, Organizations']","Just when it seemed the controversy surrounding the Donald J. Trump Foundation couldn't get any worse, the Washington Post's David Fahrenthold published new revelations this morning that, if true, suggest serious wrongdoing.

Donald Trump spent more than a quarter-million dollars from his charitable foundation to settle lawsuits that involved the billionaire's for-profit businesses, according to interviews and a review of legal documents.

Those cases, which together used $258,000 from Trump's...","20,049"
