url,name,artistname,duration,listeners,playcount,toptags
https://www.last.fm/music/Drake/_/Hotline+Bling,Hotline Bling,Drake,267000,279153,2463394,"['i want drake to murder my vagina', 'Hip-Hop', 'love at first listen', 'best of 2015', 'meme rap']"
https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,Can't Feel My Face,The Weeknd,215000,344907,3084283,"['love at first listen', 'r&b', 'rnb', 'pop', 'Canadian']"
https://www.last.fm/music/Adele/_/Hello,Hello,Adele,295000,311984,3231311,"['soul', 'pop', 'british', '2015', 'female vocalists']"
https://www.last.fm/music/The+Weeknd/_/The+Hills,The Hills,The Weeknd,242000,255815,2238323,"['r&b', 'love at first listen', 'electronic', 'dark', 'bass']"
https://www.last.fm/music/Justin+Bieber/_/Sorry,Sorry,Justin Bieber,200000,252860,2836695,"['pop', 'love at first listen', 'dance', '2015', 'justin bieber']"
https://www.last.fm/music/Justin+Bieber/_/What+Do+You+Mean%3F,What Do You Mean?,Justin Bieber,206000,252853,2477345,"['pop', '2015', 'justin bieber', 'what do you mean', 'black metal']"
https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,The Less I Know the Better,Tame Impala,218000,227298,1919482,"['indie', 'indie rock', 'psychedelic', 'fip', 'Disco']"
https://www.last.fm/music/Major+Lazer/_/Lean+On+(feat.+M%C3%98+&+DJ+Snake),Lean On (feat. MØ & DJ Snake),Major Lazer,177000,356147,3710799,"['2015', 'anthem', 'epic', 'elektronic beats', 'electronic']"
https://www.last.fm/music/Kendrick+Lamar/_/King+Kunta,King Kunta,Kendrick Lamar,234000,251704,1933324,"['best of 2015', 'Hip-Hop', 'hip hop', 'funk', 'funky']"
https://www.last.fm/music/Radiohead/_/Burn+the+Witch,Burn the Witch,Radiohead,220000,178734,1201520,"['chamber pop', 'art rock', 'love at first listen', 'epic', 'rock']"
https://www.last.fm/music/Kendrick+Lamar/_/Alright,Alright,Kendrick Lamar,219000,188186,1274786,"['Hip-Hop', '2015', 'rap', 'best of 2015', 'hip hop']"
https://www.last.fm/music/Tame+Impala/_/Let+It+Happen,Let It Happen,Tame Impala,470000,230290,1885067,"['indie', 'psychedelic', 'Psychedelic Rock', '2015', 'electronic']"
https://www.last.fm/music/M83/_/Midnight+City,Midnight City,M83,361000,863098,9315566,"['electronic', 'indie', 'electropop', 'electro', 'catchy']"
https://www.last.fm/music/Grimes/_/Flesh+Without+Blood,Flesh Without Blood,Grimes,215000,130445,1203581,"['pop', 'electronic', 'dream pop', 'love at first listen', 'best of 2015']"
https://www.last.fm/music/CHVRCHES/_/Leave+a+Trace,Leave a Trace,CHVRCHES,299000,145018,989261,"['electronic', 'synthpop', 'pop', 'british', 'alternative']"
https://www.last.fm/music/Twenty+One+Pilots/_/Stressed+Out,Stressed Out,Twenty One Pilots,202000,261614,2501893,"['indie', 'Awesome', 'alternative', 'love at first listen', 'my name is blurryface and i care what you think']"
https://www.last.fm/music/Kanye+West/_/Famous,Famous,Kanye West,196000,129686,915445,"['Rihanna', 'taylor swift', 'rap', 'Hip-Hop', 'USA']"
https://www.last.fm/music/The+xx/_/Intro,Intro,The xx,127000,981594,11505112,"['indie', 'alternative', 'electronic', 'best intro ever', 'british']"
https://www.last.fm/music/Drake/_/One+Dance,One Dance,Drake,174000,190583,1515108,"['Drake', 'ovo', 'Hip-Hop', 'pop', 'Canadian']"
https://www.last.fm/music/Sia/_/Cheap+Thrills,Cheap Thrills,Sia,211000,223524,2073629,"['pop', 'dance', 'electropop', 'female vocalists', 'australian']"
https://www.last.fm/music/Justin+Bieber/_/Love+Yourself,Love Yourself,Justin Bieber,234000,207867,1880051,"['pop', 'love at first listen', 'Ed Sheeran', 'Canadian', 'guitar']"
https://www.last.fm/music/Bon+Iver/_/Skinny+Love,Skinny Love,Bon Iver,239000,984764,11851892,"['folk', 'indie', 'acoustic', 'singer-songwriter', 'beautiful']"
https://www.last.fm/music/Modest+Mouse/_/Float+On,Float On,Modest Mouse,208000,1042354,7674969,"['indie', 'indie rock', 'alternative', 'rock', 'Modest Mouse']"
https://www.last.fm/music/Rihanna/_/Work,Work,Rihanna,219000,188720,1569307,"['trance', 'catchy', 'funk', 'r&b', 'party']"
https://www.last.fm/music/Alessia+Cara/_/Here,Here,Alessia Cara,200000,165119,1091705,"['soul', 'pop', 'love at first listen', 'r&b', 'rnb']"
https://www.last.fm/music/Fetty+Wap/_/Trap+Queen,Trap Queen,Fetty Wap,222000,199857,1275617,"['Hip-Hop', 'Dope Shit', 'hip hop', 'favorites 2015', 'rappers that sing']"
https://www.last.fm/music/Grimes/_/California,California,Grimes,198000,111228,724342,"['electronic', 'electropop', 'catchy', 'synthpop', 'horrivel']"
https://www.last.fm/music/Kanye+West/_/Father+Stretch+My+Hands+Pt.+1,Father Stretch My Hands Pt. 1,Kanye West,135000,97296,693837,"['kid cudi', 'Hip-Hop', 'hip hop', 'rap', 'gospel']"
https://www.last.fm/music/Ellie+Goulding/_/On+My+Mind,On My Mind,Ellie Goulding,0,179474,1418107,"['pop', 'british', 'ellie goulding', '2015', 'on my mind']"
https://www.last.fm/music/The+Killers/_/Mr.+Brightside,Mr. Brightside,The Killers,224000,1807398,15804316,"['rock', 'indie', 'indie rock', 'alternative', 'alternative rock']"
https://www.last.fm/music/Radiohead/_/Karma+Police,Karma Police,Radiohead,261000,1519885,12828930,"['alternative', 'alternative rock', 'rock', 'radiohead', 'indie']"
https://www.last.fm/music/CHVRCHES/_/The+Mother+We+Share,The Mother We Share,CHVRCHES,191000,397867,3663035,"['synthpop', 'electronic', 'dreamwave', 'indietronica', 'dreampop']"
https://www.last.fm/music/Rihanna/_/Needed+Me,Needed Me,Rihanna,192000,151490,1338740,"['Hip-Hop', 'electronic', 'r&b', 'pop', 'urban']"
