page,name,songmbid,artistname,artistmbid,artisturl,duration,listeners,url,rank,streamstat,streamtext,imagesmallurl,imagemedurl,imagelargeurl,imagexlargeurl,duplicate,fullrank,artistfreq
1,Hotline Bling,,Drake,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,https://www.last.fm/music/Drake,0,275781,https://www.last.fm/music/Drake/_/Hotline+Bling,0,0,0,https://lastfm-img2.akamaized.net/i/u/34s/b65b489e580a3f4cdd4c06bac3dfc236.png,https://lastfm-img2.akamaized.net/i/u/64s/b65b489e580a3f4cdd4c06bac3dfc236.png,https://lastfm-img2.akamaized.net/i/u/174s/b65b489e580a3f4cdd4c06bac3dfc236.png,https://lastfm-img2.akamaized.net/i/u/300x300/b65b489e580a3f4cdd4c06bac3dfc236.png,0,1,74
1,Can't Feel My Face,,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,https://www.last.fm/music/The+Weeknd,0,340064,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,1,0,0,https://lastfm-img2.akamaized.net/i/u/34s/ba6812b8f3ec6e44acb24d1f73bad94a.png,https://lastfm-img2.akamaized.net/i/u/64s/ba6812b8f3ec6e44acb24d1f73bad94a.png,https://lastfm-img2.akamaized.net/i/u/174s/ba6812b8f3ec6e44acb24d1f73bad94a.png,https://lastfm-img2.akamaized.net/i/u/300x300/ba6812b8f3ec6e44acb24d1f73bad94a.png,0,2,22
1,Hello,,Adele,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,https://www.last.fm/music/Adele,0,308769,https://www.last.fm/music/Adele/_/Hello,2,0,0,https://lastfm-img2.akamaized.net/i/u/34s/492cd86d2808cf796c72130da2e06595.png,https://lastfm-img2.akamaized.net/i/u/64s/492cd86d2808cf796c72130da2e06595.png,https://lastfm-img2.akamaized.net/i/u/174s/492cd86d2808cf796c72130da2e06595.png,https://lastfm-img2.akamaized.net/i/u/300x300/492cd86d2808cf796c72130da2e06595.png,0,3,26
1,The Hills,,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,https://www.last.fm/music/The+Weeknd,0,251187,https://www.last.fm/music/The+Weeknd/_/The+Hills,3,0,0,https://lastfm-img2.akamaized.net/i/u/34s/ba6812b8f3ec6e44acb24d1f73bad94a.png,https://lastfm-img2.akamaized.net/i/u/64s/ba6812b8f3ec6e44acb24d1f73bad94a.png,https://lastfm-img2.akamaized.net/i/u/174s/ba6812b8f3ec6e44acb24d1f73bad94a.png,https://lastfm-img2.akamaized.net/i/u/300x300/ba6812b8f3ec6e44acb24d1f73bad94a.png,0,4,22
1,Sorry,,Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,https://www.last.fm/music/Justin+Bieber,0,249492,https://www.last.fm/music/Justin+Bieber/_/Sorry,4,0,0,https://lastfm-img2.akamaized.net/i/u/34s/aff684ae2cbbc86073136b32d03e48ff.png,https://lastfm-img2.akamaized.net/i/u/64s/aff684ae2cbbc86073136b32d03e48ff.png,https://lastfm-img2.akamaized.net/i/u/174s/aff684ae2cbbc86073136b32d03e48ff.png,https://lastfm-img2.akamaized.net/i/u/300x300/aff684ae2cbbc86073136b32d03e48ff.png,0,5,16
1,What Do You Mean?,,Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,https://www.last.fm/music/Justin+Bieber,0,250382,https://www.last.fm/music/Justin+Bieber/_/What+Do+You+Mean%3F,5,0,0,https://lastfm-img2.akamaized.net/i/u/34s/aff684ae2cbbc86073136b32d03e48ff.png,https://lastfm-img2.akamaized.net/i/u/64s/aff684ae2cbbc86073136b32d03e48ff.png,https://lastfm-img2.akamaized.net/i/u/174s/aff684ae2cbbc86073136b32d03e48ff.png,https://lastfm-img2.akamaized.net/i/u/300x300/aff684ae2cbbc86073136b32d03e48ff.png,0,6,16
1,The Less I Know the Better,,Tame Impala,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,https://www.last.fm/music/Tame+Impala,0,222270,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,6,0,0,https://lastfm-img2.akamaized.net/i/u/34s/b76c4ac1718d4f33aabbb0096a1cc67e.png,https://lastfm-img2.akamaized.net/i/u/64s/b76c4ac1718d4f33aabbb0096a1cc67e.png,https://lastfm-img2.akamaized.net/i/u/174s/b76c4ac1718d4f33aabbb0096a1cc67e.png,https://lastfm-img2.akamaized.net/i/u/300x300/b76c4ac1718d4f33aabbb0096a1cc67e.png,0,7,30
1,Lean On (feat. MØ & DJ Snake),,Major Lazer,75be165a-ad83-4d12-bd28-f589a15c479f,https://www.last.fm/music/Major+Lazer,0,353311,https://www.last.fm/music/Major+Lazer/_/Lean+On+(feat.+M%C3%98+&+DJ+Snake),7,0,0,https://lastfm-img2.akamaized.net/i/u/34s/38871bbf7333a8ec94507e7a7dc7333a.png,https://lastfm-img2.akamaized.net/i/u/64s/38871bbf7333a8ec94507e7a7dc7333a.png,https://lastfm-img2.akamaized.net/i/u/174s/38871bbf7333a8ec94507e7a7dc7333a.png,https://lastfm-img2.akamaized.net/i/u/300x300/38871bbf7333a8ec94507e7a7dc7333a.png,0,8,8
1,King Kunta,,Kendrick Lamar,381086ea-f511-4aba-bdf9-71c753dc5077,https://www.last.fm/music/Kendrick+Lamar,0,249335,https://www.last.fm/music/Kendrick+Lamar/_/King+Kunta,8,0,0,https://lastfm-img2.akamaized.net/i/u/34s/63d1fd1856256d77b6443a67d4264982.png,https://lastfm-img2.akamaized.net/i/u/64s/63d1fd1856256d77b6443a67d4264982.png,https://lastfm-img2.akamaized.net/i/u/174s/63d1fd1856256d77b6443a67d4264982.png,https://lastfm-img2.akamaized.net/i/u/300x300/63d1fd1856256d77b6443a67d4264982.png,0,9,41
1,Burn the Witch,,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,https://www.last.fm/music/Radiohead,0,172696,https://www.last.fm/music/Radiohead/_/Burn+the+Witch,9,0,0,https://lastfm-img2.akamaized.net/i/u/34s/ce92805e3d29429ac2df52e8a3bd6d90.png,https://lastfm-img2.akamaized.net/i/u/64s/ce92805e3d29429ac2df52e8a3bd6d90.png,https://lastfm-img2.akamaized.net/i/u/174s/ce92805e3d29429ac2df52e8a3bd6d90.png,https://lastfm-img2.akamaized.net/i/u/300x300/ce92805e3d29429ac2df52e8a3bd6d90.png,0,10,84
