,positive_grouped,negative_grouped,null_grouped,date,anger_percent_weighted,sadness_percent_weighted,joy_percent_weighted
0,297493.170212766,320970.3965517241,293311.90476190473,2016-06-01,0.0982614920576,0.09872251861639998,0.0994462153928
1,297332.06382978725,314585.0333333333,298924.8360655738,2016-06-02,0.24722674121399998,0.134190104151,0.0339552202273
2,297456.612244898,331978.7894736842,309570.3220338983,2016-06-03,0.213815914872,0.153654498326,0.11480259590999999
3,274328.78,308656.8474576271,296259.8070175439,2016-06-04,0.385247738993,0.22321378631900002,0.158707446744
4,247394.88235294117,279142.68333333335,270627.94736842107,2016-06-05,0.191034218685,0.0795554380498,0.09646709573920001
5,282464.152173913,295508.868852459,287624.224137931,2016-06-06,0.303082798129,0.276463047526,0.045686107282999995
6,292285.0444444445,304231.18333333335,282341.91803278687,2016-06-07,0.315121139331,0.36147224586300003,0.09013344208280001
7,291089.3333333333,305559.5423728814,284326.01666666666,2016-06-08,0.139097410191,0.104304018648,0.10960059607000001
8,287066.82608695654,311620.01754385966,282159.7049180328,2016-06-09,0.08382563707719999,0.0673329614875,0.21067616421799998
9,294797.4680851064,327971.3157894737,299405.11666666664,2016-06-10,0.37792489324600004,0.446984654176,0.134377196576
10,266851.875,296400.8965517241,275349.10169491527,2016-06-11,0.450915858608,0.362601172438,0.05632104771000001
11,242014.66666666666,266172.7966101695,247559.36666666667,2016-06-12,0.29686251242199996,0.20422742900199997,0.12867039892
12,267976.6304347826,284874.5423728814,266575.04918032786,2016-06-13,0.358055248755,0.270316147973,0.0513059262046
13,271506.44680851063,289148.3898305085,277014.77966101695,2016-06-14,0.323457309669,0.20676570996899998,0.0675243545924
14,276957.42553191487,300600.3157894737,279067.8,2016-06-15,0.242371609269,0.187461456807,0.11026727740299999
15,271571.48,306895.9464285714,290837.3333333333,2016-06-16,0.16866833374200002,0.18679381812600002,0.172015066182
16,283686.02040816325,319551.275862069,309485.7454545455,2016-06-17,0.286666578749,0.205219726441,0.22617745902699998
17,267225.4791666667,293740.9491525424,290523.53571428574,2016-06-18,0.139082347683,0.22665420140599998,0.163460491201
18,243481.23913043478,261888.91525423728,256373.9827586207,2016-06-19,0.35786557394100005,0.19314332134599999,0.127309043914
19,277426.1395348837,283056.1186440678,274981.65,2016-06-20,0.235370763963,0.17879497878400002,0.24983103388500003
20,273365.40425531915,295016.0344827586,292033.8947368421,2016-06-21,0.0,0.0,0.0
21,272240.7173913043,293759.8275862069,290958.91228070174,2016-06-22,0.310683060524,0.16458419747000003,0.168207428936
22,279243.2173913043,308203.85714285716,298992.8596491228,2016-06-23,0.27140066785,0.34340066196900004,0.0239398343472
23,297288.06666666665,307311.31147540984,321032.7454545455,2016-06-24,0.20365696694600002,0.187377032612,0.0729024666609
24,275205.5,292613.1525423729,286165.3448275862,2016-06-25,0.204053947957,0.21098072364999998,0.148067959666
25,246312.17021276595,263888.0508474576,255220.4406779661,2016-06-26,0.164916178849,0.208395460145,0.23914267611499998
26,265846.74468085106,287935.3448275862,276688.5,2016-06-27,0.141828202808,0.181921524865,0.0888256086615
27,269062.4285714286,299515.0701754386,291252.8448275862,2016-06-28,0.19394024173500002,0.152797153017,0.22493779317499998
28,279433.8541666667,302106.3275862069,301407.8103448276,2016-06-29,0.231200066744,0.15408727925000001,0.06540069194069999
29,285828.1489361702,305382.724137931,301203.3793103448,2016-06-30,0.19475513964299998,0.163494632035,0.213419879731
30,318964.6590909091,318475.5517241379,343738.06,2016-07-01,0.179230413496,0.212269535757,0.0990988366159
31,276914.847826087,293588.43859649124,307382.09803921566,2016-07-02,0.16725447746400002,0.165973300528,0.259370140542
32,249001.68085106384,276030.4905660377,285334.5,2016-07-03,0.16334312945999999,0.11234913879000001,0.08243530512439999
33,278901.1219512195,268932.4655172414,301103.52,2016-07-04,0.0622527207189,0.0548494334351,0.20448897052499998
34,260263.54347826086,272910.9649122807,288735.8653846154,2016-07-05,0.165927360985,0.2485824241,0.210910240438
35,277245.44444444444,290629.91071428574,288718.12727272726,2016-07-06,0.40791801741899997,0.048498045668099996,0.244165310759
36,281217.11363636365,291315.6964285714,291529.962962963,2016-07-07,0.318664648821,0.21008956261599998,0.08571403323660001
37,286281.89130434784,294728.74576271186,320555.8775510204,2016-07-08,0.28321422457600004,0.163184194299,0.0544126616285
38,262947.23913043475,280061.29824561405,290231.09803921566,2016-07-09,0.184007601562,0.0418911282177,0.18875005656399998
39,243629.9090909091,253573.24561403508,253681.12962962964,2016-07-10,0.299028031086,0.309903748782,0.0295671939152
40,274860.0930232558,279340.1754385965,273486.98245614034,2016-07-11,0.17357817106100001,0.21334207118700002,0.0933784515732
41,273407.5909090909,281822.3859649123,281825.32727272727,2016-07-12,0.10908971438300001,0.114125161577,0.06697844420230001
42,285044.511627907,287388.1228070175,287975.05454545456,2016-07-13,0.173477219771,0.123532285435,0.220263556659
43,289920.0714285714,280603.9152542373,294582.58490566036,2016-07-14,0.19421603841899998,0.23257926919799998,0.0408505758401
44,285861.54347826086,305531.85454545455,316845.29411764705,2016-07-15,0.203213218618,0.0892117901336,0.0358324029927
45,262972.3829787234,281672.8214285714,294020.35294117645,2016-07-16,0.24955233873500002,0.21010599515,0.024901141650700002
46,247924.9090909091,252950.98214285713,260123.71153846153,2016-07-17,0.165961299496,0.118869707381,0.0947605833937
47,279620.90476190473,267578.6271186441,287811.1923076923,2016-07-18,0.13514314937799998,0.23547135076499998,0.109093160802
48,278977.6976744186,278356.05263157893,289931.2075471698,2016-07-19,0.22992409739999997,0.15630037330399998,0.09825102459169999
49,280735.9318181818,280274.724137931,302048.60784313723,2016-07-20,0.18835541687600002,0.0670407301954,0.0907969791154
50,281418.79545454547,276276.4666666667,311528.2448979592,2016-07-21,0.216286828651,0.197489584897,0.061880863943600005
51,301854.85365853657,298344.9298245614,344479.3958333333,2016-07-22,0.149118385022,0.153276699991,0.0912620771416
52,279479.6904761905,275353.36842105264,317563.2244897959,2016-07-23,0.221156544511,0.0837254061452,0.153399501811
53,253335.88372093023,247900.91379310345,292342.25,2016-07-24,0.0803897884565,0.119004303566,0.12205181973099999
54,273893.9555555555,268515.7586206897,317877.9387755102,2016-07-25,0.260373396546,0.15513234267999998,0.08058045149339998
55,281319.4,274786.0517241379,331073.3333333333,2016-07-26,0.09098707035360001,0.08764988803860001,0.24200445880600002
56,284411.77777777775,277058.2931034483,334777.7083333333,2016-07-27,0.194051065858,0.183604874906,0.144594197178
57,285187.15555555554,276627.8793103448,339295.1489361702,2016-07-28,0.196787359549,0.229673672943,0.264085703763
58,305623.4418604651,293356.6271186441,352399.78723404254,2016-07-29,0.0770102746966,0.0642347766967,0.39223806984399995
59,284231.4418604651,278195.0847457627,320214.7291666667,2016-07-30,0.450044208665,0.240274093722,0.122789566755
60,256013.70454545456,255059.05084745763,291704.6170212766,2016-07-31,0.21204674926699998,0.157882458657,0.0565783637757
61,279997.2272727273,279225.3898305085,319935.21276595746,2016-08-01,0.0,0.0,0.0
62,282375.8222222222,284750.1186440678,330464.97826086957,2016-08-02,0.10913658162699999,0.30647550524,0.025373110096
63,288722.6222222222,300557.91228070174,339744.152173913,2016-08-03,0.0,0.0,0.0
64,289134.73333333334,295891.72881355934,337562.4130434783,2016-08-04,0.302950035547,0.19891036512200003,0.145433902331
65,293841.47826086957,306031.2,356943.9347826087,2016-08-05,0.25867772446,0.212329755908,0.0829146079627
66,262795.375,282345.8620689655,335359.7272727273,2016-08-06,0.104219398553,0.115873449125,0.143055214135
67,240284.77551020408,267300.89285714284,311138.5227272727,2016-08-07,0.247538017228,0.18723442882199998,0.09243501359210002
68,267435.8163265306,285575.5172413793,338753.8,2016-08-08,0.19548324072,0.24861284319000002,0.136480694854
69,277475.2708333333,294249.7543859649,344396.0652173913,2016-08-09,0.10488547142999999,0.1149903515,0.0312844196321
70,272833.84,293415.3103448276,351443.3777777778,2016-08-10,0.148761603012,0.237702597038,0.05062744064130001
71,274462.44,293994.6551724138,351580.5777777778,2016-08-11,0.19648592674899998,0.0714872360142,0.26061591363000003
72,279569.96,306843.49122807017,370824.16279069765,2016-08-12,0.13369828321799998,0.10253955696900001,0.22500922532900003
73,262715.2549019608,286497.0862068966,353429.6976744186,2016-08-13,0.346800029376,0.22621866075,0.08261293945550001
74,240102.17307692306,267366.22807017545,325356.9767441861,2016-08-14,0.197953997269,0.24712505292800002,0.0341227460101
75,267770.42,286103.9827586207,344530.3333333333,2016-08-15,0.175442082104,0.141585263386,0.0684013119802
76,271112.43137254904,294414.01754385966,356676.0,2016-08-16,0.265397114052,0.251245203501,0.18262003719
77,270986.6346153846,298602.41071428574,354659.97777777776,2016-08-17,0.188075355216,0.19499847978100002,0.11898294322999999
78,275786.75,291883.9152542373,371361.20930232556,2016-08-18,0.218479407929,0.11616148834699999,0.101977615219
