Position,Track Name,Artist,Streams,URL,Date
1,One Dance,Drake,2194343,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2016-06-01
2,Panda,Desiigner,1228709,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3,2016-06-01
3,Needed Me,Rihanna,984766,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,2016-06-01
4,Too Good,Drake,963923,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,2016-06-01
5,Controlla,Drake,918202,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG,2016-06-01
6,This Is What You Came For,Calvin Harris,876223,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2016-06-01
7,Don't Let Me Down,The Chainsmokers,856639,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK,2016-06-01
8,Pop Style,Drake,820185,https://open.spotify.com/track/334S9SWZMjyRDN0wrHw7wk,2016-06-01
9,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,799094,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2016-06-01
10,Work from Home,Fifth Harmony,778053,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2016-06-01
11,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,708405,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P,2016-06-01
12,Don't Mind,Kent Jones,692387,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ,2016-06-01
13,Ride,Twenty One Pilots,594361,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2016-06-01
14,Never Be Like You (feat. Kai),Flume,589602,https://open.spotify.com/track/47zREtxQZ3cHHIZwUQnuuN,2016-06-01
15,Dangerous Woman,Ariana Grande,585625,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi,2016-06-01
16,Low Life,Future,581813,https://open.spotify.com/track/71SDPonZOsIKNtqnaX8LXj,2016-06-01
17,Cheap Thrills,Sia,575066,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2016-06-01
18,Never Forget You,Zara Larsson,568660,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD,2016-06-01
19,Close,Nick Jonas,560820,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ,2016-06-01
20,"Me, Myself & I",G-Eazy,550639,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,2016-06-01
21,Middle,DJ Snake,543028,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa,2016-06-01
22,Work,Rihanna,539579,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,2016-06-01
