Track Name,Artist,name,negative,positive,anger,fear,anticipation,surprise,trust,sadness,joy,disgust,wordcount,lyrics,negative_percent,positive_percent,anger_percent,fear_percent,anticipation_percent,surprise_percent,trust_percent,sadness_percent,joy_percent,disgust_percent
One Dance,Drake,One Dance--Drake,1,24,1,4,21,4,14,1,16,1,42,"Baby, I like your style  Grips on your waist Front way, back way You know that I don't play Streets not safe But I never run away Even when I'm away  Oti, oti There's never much love when we go OT I pray to make it back in one piece I pray, I pray  That's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me  I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me  Baby, I like your style  Strength and guidance All that I'm wishing for my friends Nobody makes it from my ends I had to bust up the silence  You know you gotta stick by me Soon as you see the text, reply me I don't wanna spend time fighting We've got no time  And that's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me  I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me  Got a pretty girl and she love me long time Wine it, wine it, very long time Oh yeah, very long time Back up, back up, back up and wine it Back up, back up and wine it, girl Back up, back up, back up and wine it Oh yeah, very long time Back, up, back up and wine it, girl  Tell me I need to know, where do you wanna go? 'Cause if you're down, I'll take it slow Make you lose control  Where, where, where Where, where, where, where  Oh yeah, very long time Where, where, where Back, up, back up and wine it, girl Where, where, where, where  'Cause if you're down Back up, back up and 'Cause if you're down Back up, back up and 'Cause if you're down Back up, back up and  I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me  I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me",0.023809523809523808,0.5714285714285714,0.023809523809523808,0.09523809523809523,0.5,0.09523809523809523,0.3333333333333333,0.023809523809523808,0.38095238095238093,0.023809523809523808
Panda,Desiigner,Panda--Desiigner,24,17,8,16,9,5,16,13,7,8,53,"This what they all been waiting for I guess so They been waiting for this shit for a long time didnt they I'mma give it everything I got Ayo Dougie park that X6 around the corner Aye I'm just feeling my vibe right now I'm feeling myself  Panda, panda Panda, panda, panda, panda, panda  I got broads in Atlanta Twisting dope, lean and the Fanta Credit cards and the scammers Hitting off licks in the bando  Black X6, Phantom White X6 looks like a panda Going out like I'm Montana Hundred killers, hundred hammers  Black X6, Phantom White X6, panda Pockets swole, Danny Selling bar, candy  Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me  I got broads in Atlanta Twisting dope, lean and the Fanta Credit cards and the scammers Hitting off licks in the bando  Black X6, Phantom White X6 looks like a panda Going out like Im Montana Hundred killers, hundred hammers  Black X6, Phantom White X6, panda Pockets swole, Danny Selling bar, candy  Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me  Hey Panda, panda Panda, panda, panda, panda, panda, panda, panda, panda  I got broads in Atlanta Twisting dope, lean and shit sipping Fanta Credit cards and the scammers Wake up Versace shit, life Desiigner  Whole buncha lavish shit They be asking round town who be clappin' shit I pullin' up stuff in the Phantom ship I got plenty of stuff of Bugatti whip look how I try this shit  Black X6, Phantom White X6, killing on camera Pop a Perc, I can't stand up Gorilla, they come and kill you with bananas  Four fillas, they finna pull up in the Phantom Know niggas, they come and kill you on the camera Big Rollie, it dancing bigger than a Pandie Go Oscar for Grammy, bitch pull up your panty  Fill up I'mma flip it I got bitches pull up and they get it I got niggas that's counting for digits Say you make you a lot of new money  Know some killers pull off and they in the Wraith CTD, they pull off and they kill the Bape Call up Phillip-Phillip, gone fill the bank, niggas up in the bank We gone drill the bank, fuck we gone kill the bank, get it  I got broads, yeah I get it I get cards yea I shitted, this how I live it Did it all for a ticket Now Flex drop bombs when he spin it And Bobby gone trend it  Jeff The Don doing business Zana Ray fucking up shit and she doin' her bidnezz I be getting to the chicken Counting to the chicken And all of my niggas gone split it  Panda, panda Panda, panda, panda, panda, panda  I got broads in Atlanta Twisting dope, lean and the Fanta Credit cards and the scammers Hitting off licks in the bando  Black X6, Phantom White X6 looks like a panda Going out like I'm Montana Hundred killers, hundred hammers  Black X6, Phantom White X6, panda Pockets swole, Danny Selling bar, candy  Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me  I got broads in Atlanta Twisting dope, lean and the Fanta Credit cards and the scammers Hitting off licks in the bando  Black X6, Phantom White X6 looks like a panda Going out like Im Montana Hundred killers, hundred hammers  Black X6, Phantom White X6, panda Pockets swole, Danny Selling bar, candy  Man I'm the mocho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me  Panda, panda Panda, panda, panda, panda, panda, panda, panda, panda",0.4528301886792453,0.32075471698113206,0.1509433962264151,0.3018867924528302,0.16981132075471697,0.09433962264150944,0.3018867924528302,0.24528301886792453,0.1320754716981132,0.1509433962264151
Needed Me,Rihanna,Needed Me--Rihanna,13,16,11,5,7,6,11,3,12,8,31,"Mustard on the beat ho  I was good on my own, that's the way it was, that's the way it was You was good on the low for a faded fuck, on some faded love Shit, what the fuck you complaining for? Feeling jaded huh? Used to trip off that shit I was kickin' to you Had some fun on the run though I give it to you  But baby, don't get it twisted You was just another nigga on the hit list Tryna fix your inner issues with a bad bitch Didn't they tell you that I was a savage Fuck your white horse and a carriage Bet you never could imagine Never told you you could have it  You needed me Oooh, you needed me To feel a little more, and give a little less Know you hate to confess But baby ooo, you needed me  You been rollin' around, shit I'm rollin up Light and roll it up Break it down like a pound, shit was never us Shit was never us That's the real on the real, are you serious? How you feel, how you feel? Used to trip off that shit I was kickin' to ya Had some fun on the run though, I give it to ya  But baby, don't get it twisted You was just another nigga on the hit list Tryna fix your inner issues with a bad bitch Didn't they tell you that I was a savage Fuck your white horse and a carriage Bet you never could imagine Never told you you could have it  You needed me Oooh, you needed me To feel a little more, and give a little less Know you hate to confess But baby ooo, you needed me",0.41935483870967744,0.5161290322580645,0.3548387096774194,0.16129032258064516,0.22580645161290322,0.1935483870967742,0.3548387096774194,0.0967741935483871,0.3870967741935484,0.25806451612903225
Too Good,Drake,Too Good--Drake,2,19,0,0,13,9,12,2,14,0,24,"rake:Oh yeah, yeah, yeah Oh yeah, yeah, yeah Yeah  rake:Look...I don't know how to talk to you I don't know how to ask you if you're okay My friends always feel the need to tell me things Seems like they're just happier than us these days Yeah, these days I don't know how to talk to you I don't know how to be there when you need me It feels like the only time you see me Is when you turn your head to the side and look at me differently  rake:Yeah, and last night I think I lost my patience Last night, I got high as the expectations Last night, I came to a realization And I hope you can take it I hope you can take it  rake:I'm too good to you I'm way too good to you You take my love for granted I just don't understand it No, I'm too good to you I'm way too good to you You take my love for granted I just don't understand it  ihanna:I don't know how to talk to you I just know I found myself getting lost with you Lately you just make me work too hard for you Got me on flights overseas, and I still can't get across to you  ihanna:And last night I think I lost my patience Last night, I got high as the expectations Last night, I came to a realization And I hope you can take it I hope you can take it  rake & Rihanna:I'm too good to you I'm way too good to you You take my love for granted I just don't understand it No, I'm too good to you I'm way too good to you You take my love for granted I just don't understand it  rake:Years go by too fast I can't keep track How long did we last? I feel bad for asking It can't end like this We gotta take time with this Cock up yuh bumper, sit down pon it Let me see if this is something I can fix You got somebody other than me Don't play the victim when you're with me Free time is costing me more than it seems Sacrificing things And I wanna tell you my intentions I wanna do the things that I mention I wanna benefit from the friendship I wanna get the late night message from you, from you I put my hands around you Gotta get a handle on you Gotta get a handle on the fact that...  rake & Rihanna:I'm too good to you I'm way too good to you You take my love for granted I just don't understand it No, I'm too good to you I'm way too good to you You take my love for granted I just don't understand it  opcaan:Gyal a you mi waan Pay fi yuh visa meck yo fly out regular Baby, cock up yuh bumper, sit down pon it Gyal yo pum pum good and yuh fit Mi wi give you everything weh deh in my wallet And in my pocket Cock up yuh bumper, sit down pon it Gyal yo pum pum good and yuh fit Mi wi give you everything weh deh in my wallet And in my pocket",0.08333333333333333,0.7916666666666666,0.0,0.0,0.5416666666666666,0.375,0.5,0.08333333333333333,0.5833333333333334,0.0
Controlla,Drake,Controlla--Drake,8,7,4,1,4,1,4,3,3,3,17,"Right, my yiy just changed You just buzzed the front gate I thank God you came How many more days could I wait? I made plans with you And I won't let em fall through I, I, I, I, I  I think I'd lie for you I think I'd die for you Jodeci ""Cry For You"" Do things when you want me to Like controlla, controlla Yeah, like controlla, controlla  Yeah, okay, you like it When I get, aggressive, tell you to Go slower, go faster Like controlla, controlla Yeah, like controlla, controlla  And Im never on a waste ting shorty I do it how you say you want it Them girls, they just wanna take my money They don't want me to give you nothing They don't want you to have nothing They don't wanna see me find your lovin' They don't wanna see me Smiling back when they pree  Knowing I'd lie for you Thinking I'd die for you Jodeci ""Cry For You"" Do things when you want me to Like controlla, controlla Yeah, like controlla, controlla  Gyal a tear off mi garments And a bawl fi come inna mi apartment (Woi!) Di gyal dem want di length and strength Action speak louder than argument well  But you can't just diss and come tell man sorry You can't listen to me talk and go tell my story Nah, it don't work like that when you love somebody My old flex is my new flex now and we're workin' on it And that's why I need all the energy that you bring to me My last girl would tear me apart, but she'd never wanna split a ting with me But when it comes to you, you  I think I'd lie for you I think I'd die for you Do things when you want me too Like controlla, controlla Yeah, like controlla, controlla  And Im never on a waste ting shorty I do it how you say you want it Them girls, they just wanna take my money They don't want me to give you nothing They don't want you to have nothing They don't wanna see me find your lovin' They don't wanna see me Smiling back when they pree Jheeze!  Music a drop Gyal a whine up dem bumpa Dis is di summa summa controlla Drake from Canada, Beenie Man from Jamaica Dah one yah a murda! Zagga",0.47058823529411764,0.4117647058823529,0.23529411764705882,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.17647058823529413
This Is What You Came For,Calvin Harris,This Is What You Came For--Calvin Harris,6,2,13,8,5,9,0,1,2,0,21,"Baby, this is what you came for Lightning strikes every time she moves And everybody's watching her But she's looking at you, oh, oh You, oh, oh, you, oh, oh You, oh, oh, you, oh, oh You, oh, oh, oh, oh  Lightning, this is what you came for Lightning strikes every time she moves And everybody's watching her But she's looking at you, oh, oh You, oh, oh, you, oh, oh You, oh, oh, you, oh, oh You, oh, oh, oh, oh  We go fast 'til they can't replay Who knows why it's gotta be this way We say nothing more than we need I say ""your place"" when we leave  Lightning, this is what you came for Lightning strikes every time she moves And everybody's watching her But she's looking at you, oh, oh You, oh, oh, you, oh, oh You, oh, oh, you, oh, oh You, oh, oh, oh, oh  Baby, this is what you came for Lightning strikes every time she moves Yeah  Lightning, this is what you came for Lightning strikes every time she moves And everybody's watching her But she's looking at you, oh, oh You, oh, oh, you, oh, oh You, oh, oh, you, oh, oh You, oh, oh, oh, oh",0.2857142857142857,0.09523809523809523,0.6190476190476191,0.38095238095238093,0.23809523809523808,0.42857142857142855,0.0,0.047619047619047616,0.09523809523809523,0.0
Don't Let Me Down,The Chainsmokers,Don't Let Me Down--The Chainsmokers,4,2,3,0,5,2,2,2,2,0,9,"Crashing, hit a wall Right now I need a miracle Hurry up now, I need a miracle Stranded, reaching out I call your name but you're not around I say your name but you're not around  I need you, I need you, I need you right now Yeah, I need you right now So don't let me, don't let me, don't let me down I think I'm losing my mind now It's in my head, darling I hope That you'll be here, when I need you the most So don't let me, don't let me, don't let me down D-Don't let me down  Don't let me down Don't let me down, down, down Don't let me down, don't let me down, down, down  R-r-running out of time I really thought you were on my side But now there's nobody by my side  I need you, I need you, I need you right now Yeah, I need you right now So don't let me, don't let me, don't let me down I think I'm losing my mind now It's in my head, darling I hope That you'll be here, when I need you the most So don't let me, don't let me, don't let me down D-Don't let me down  Don't let me down Don't let me down, down, down Don't let me down, down, down Don't let me down, down, down Don't let me down, don't let me down, down, down  Oh, I think I'm losing my mind now, yeah, yeah, yeah Oh, I think I'm losing my mind now, yeah, yeah  I need you, I need you, I need you right now Yeah, I need you right now So don't let me, don't let me, don't let me down I think I'm losing my mind now It's in my head, darling I hope That you'll be here, when I need you the most So don't let me, don't let me, don't let me down Don't let me down  Yeah, don't let me down Yeah, don't let me down Don't let me down, oh no Said don't let me down Don't let me down Don't let me down Don't let me down, down, down",0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0
Pop Style,Drake,Pop Style--Drake,20,5,6,2,3,6,4,2,4,8,28,"Yeah, yeah  Dropped outta school now we dumb rich (dumb rich) This sound like some forty-three-oh-one shit (one shit) All my niggas wanna do is pop style (pop style) Turn my birthday into a lifestyle (lifestyle)  Tell my mom I love her if I do not make it (do not make it) Got so many chains they call me Chaining Tatum (They do, they do) And I like to finish what you think you started Man you boys just got to Hollywood, you boys just started You don't know what you just started All I do is hang with the young and heartless All this is for my family, man, I try my hardest It's all I ever did and look where it got him Yeah, you've been on my mind lately You've still got my number, girl you need to call me I feel like they wanna see me learn the hard way But you know I always handle that one my way Girl let me rock, rock, rock, rock, rock your body Justin Timberlake and then I hit the highway I can't trust no fuckin' body They still out to get me 'cause they never got me  They still out to get me, they don't get it I can not be got, and that's a given They like Pablo, ""why are all the windows tinted on your Tahoe?"" Why do you know every single bitch that I know? Why can't you just shut your mouth and take the high road? Fuck if I know, that's that Chicago, aye South, south, side, that's the motto, aye Cop a crib and spend ten million on remodel Take the devils out my life and preach the gospel, 'cause I know We went way, way past the line of scrimmage, aye Throne is back up in it, aye In the field like Emmitt, aye, y'all get so offended, aye I be blacking out, I ain't backing out Jay about his business, and I'mma let you finish but I... I just, I just, I just, I just wanna rock your body Take you to the garage and do some karate Chop it, chop it, chop it, chop it sipping sake Throw a thick bitch on a Kawasaki (Perfect)  Dropped outta school now we dumb rich (dumb rich) This sound like some forty-three-oh-one shit (one shit) All my niggas wanna do is pop style (pop style) Turn my birthday into a lifestyle (lifestyle)",0.7142857142857143,0.17857142857142858,0.21428571428571427,0.07142857142857142,0.10714285714285714,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.2857142857142857
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")--Justin Timberlake",12,40,12,15,16,16,36,13,37,12,44,"I got this feeling inside my bones It goes electric, wavey when I turn it on All through my city, all through my home We're flying up, no ceiling, when we in our zone  I got that sunshine in my pocket Got that good soul in my feet I feel that hot blood in my body when it drops (ooh) I can't take my eyes up off it, moving so phenomenally Room on lock the way we rock it, so don't stop  Under the lights when everything goes Nowhere to hide when I'm getting you close When we move, well, you already know So just imagine (just imagine, just imagine)  Nothing I can see but you when you dance, dance, dance Feeling good, good, creeping up on you So just dance, dance, dance, come on All those things I shouldn't do But you dance, dance, dance And ain't nobody leaving soon, so keep dancing  I can't stop the feeling So just dance, dance, dance I can't stop the feeling So just dance, dance, dance, come on  Ooh, it's something magical It's in the air, it's in my blood, it's rushing on I don't need no reason, don't need control I fly so high, no ceiling, when I'm in my zone  'Cause I got that sunshine in my pocket Got that good soul in my feet I feel that hot blood in my body when it drops (ooh) I can't take my eyes up off it, moving so phenomenally Room on lock the way we rock it, so don't stop  Under the lights when everything goes Nowhere to hide when I'm getting you close When we move, well, you already know So just imagine (just imagine, just imagine)  Nothing I can see but you when you dance, dance, dance Feeling good, good, creeping up on you So just dance, dance, dance, come on All those things I shouldn't do But you dance, dance, dance And ain't nobody leaving soon, so keep dancing  I can't stop the feeling So just dance, dance, dance I can't stop the feeling So just dance, dance, dance I can't stop the feeling So just dance, dance, dance I can't stop the feeling, yeah So keep dancing, come on  Oh yeah I can't stop the, I can't stop the I can't stop the, I can't stop the I can't stop the feeling  Nothing I can see but you when you dance, dance, dance (I can't stop the feeling) Feeling good, good, creeping up on you So just dance, dance, dance, come on (I can't stop the feeling) All those things I shouldn't do But you dance, dance, dance (I can't stop the feeling) And ain't nobody leaving soon, so keep dancing  Everybody sing (I can't stop the feeling) Got this feeling in my potty (I can't stop the feeling) Got this feeling in my potty (I can't stop the feeling) Wanna see you move your body (I can't stop the feeling) Got this feeling in my potty  Break it down Got this feeling in my potty Can't stop the feeling Got this feeling in my potty, come on",0.2727272727272727,0.9090909090909091,0.2727272727272727,0.3409090909090909,0.36363636363636365,0.36363636363636365,0.8181818181818182,0.29545454545454547,0.8409090909090909,0.2727272727272727
Work from Home,Fifth Harmony,Work from Home--Fifth Harmony,1,3,0,0,2,0,2,0,1,0,5,"I ain't worried 'bout nothin' I ain't wearin' na-nada I'm sitting pretty, impatient But I know you gotta Put in them hours I'mma make it harder I'm sendin' pic after picture I'mma get you fired  I know you're always on that night shift But I can't stand these nights alone And I don't need no explanation 'Cause baby you're the boss at home  You don't gotta go to work, work, work, work, work, work, work But you gotta put in work, work, work, work, work, work, work You don't gotta go to work, work, work, work, work, work, work Let my body do the work, work, work, work, work, work, work We can work from home, oh oh oh oh oh We can work from home, oh oh oh oh oh  Let's put it into motion I'mma give you a promotion I'll make it feel like a vacay Turn the bed into an ocean We don't need nobody I just need your body Nothin' but sheets in between us Ain't no gettin' off early  I know you're always on that night shift But I can't stand these nights alone And I don't need no explanation 'Cause baby you're the boss at home  You don't gotta go to work, work, work, work, work, work, work But you gotta put in work, work, work, work, work, work, work You don't gotta go to work, work, work, work, work, work, work Let my body do the work, work, work, work, work, work, work We can work from home, oh oh oh oh oh We can work from home, oh oh oh oh oh  Oh, yeah Girl gotta work for me Can you make it clap? No hands for me Take it to the ground Pick it up for me Look back at it All on for me Put in work like my timesheet She ride it like a '63 I'mma buy her no Celine Let her ride in a foreign with me Oh, she the bae, I'm her boo And she down to break the rules Ride or die, she gon' go I won't judge, she finesse I pipe her, she take that Puttin' overtime on your body  You ain't gotta go to work, no  You don't gotta go to work, work, work, work, work, work, work But you gotta put in work, work, work, work, work, work, work You don't gotta go to work, work, work, work, work, work, work Let my body do the work, work, work, work, work, work, work  Do the work, do the work, yeah yeah We can work from home, oh oh oh oh oh We can work from home, oh oh oh oh oh Yeah, we can work from home, oh oh yeah We can work from home, oh oh yeah",0.2,0.6,0.0,0.0,0.4,0.0,0.4,0.0,0.2,0.0
